Index       V(D)              V(G)           I(V_VSRC_D)       I(V_VSRC_G)   
61       8.00000000e-01    6.10000000e-01   -4.08307740e-05    7.77384565e-52
62       8.00000000e-01    6.20000000e-01   -4.88849743e-05    6.91989613e-51
63       8.00000000e-01    6.30000000e-01   -5.81714755e-05    9.04987722e-52
64       8.00000000e-01    6.40000000e-01   -6.87952585e-05    2.87042090e-51
65       8.00000000e-01    6.50000000e-01   -8.08551569e-05   -3.83926675e-51
66       8.00000000e-01    6.60000000e-01   -9.44420019e-05    9.34454824e-52
67       8.00000000e-01    6.70000000e-01   -1.09637145e-04   -4.25227838e-51
68       8.00000000e-01    6.80000000e-01   -1.26511384e-04   -3.89045407e-51
69       8.00000000e-01    6.90000000e-01   -1.45124287e-04    1.19658918e-51
70       8.00000000e-01    7.00000000e-01   -1.65523884e-04    2.50703600e-51
71       8.00000000e-01    7.10000000e-01   -1.87746677e-04    7.76855021e-51
72       8.00000000e-01    7.20000000e-01   -2.11817942e-04   -4.34726744e-51
73       8.00000000e-01    7.30000000e-01   -2.37752241e-04   -3.32178143e-51
74       8.00000000e-01    7.40000000e-01   -2.65554123e-04    3.07743809e-51
75       8.00000000e-01    7.50000000e-01   -2.95218960e-04    4.02832024e-51
76       8.00000000e-01    7.60000000e-01   -3.26733863e-04    1.29666211e-52
77       8.00000000e-01    7.70000000e-01   -3.60078656e-04    3.36532510e-51
78       8.00000000e-01    7.80000000e-01   -3.95226862e-04   -5.99146447e-51
79       8.00000000e-01    7.90000000e-01   -4.32146672e-04   -6.94118685e-51
80       8.00000000e-01    8.00000000e-01   -4.70801881e-04   -4.34400160e-51
81       8.00000000e-01    8.10000000e-01   -5.11152756e-04    5.57546611e-51
82       8.00000000e-01    8.20000000e-01   -5.53156845e-04    5.79350240e-51
83       8.00000000e-01    8.30000000e-01   -5.96769695e-04   -5.18997419e-51
84       8.00000000e-01    8.40000000e-01   -6.41945492e-04    7.23999864e-51
85       8.00000000e-01    8.50000000e-01   -6.88637617e-04    1.34855868e-52
86       8.00000000e-01    8.60000000e-01   -7.36799118e-04    5.02197675e-42
87       8.00000000e-01    8.70000000e-01   -7.86383109e-04    4.88442767e-42
88       8.00000000e-01    8.80000000e-01   -8.37343094e-04    4.74579037e-42
89       8.00000000e-01    8.90000000e-01   -8.89633237e-04    4.60712857e-42
90       8.00000000e-01    9.00000000e-01   -9.43208566e-04    4.46931856e-42
91       8.00000000e-01    9.10000000e-01   -9.98025131e-04    4.33307015e-42
92       8.00000000e-01    9.20000000e-01   -1.05404013e-03    4.19894749e-42
93       8.00000000e-01    9.30000000e-01   -1.11121198e-03    4.06738917e-42
94       8.00000000e-01    9.40000000e-01   -1.16950039e-03    3.93872674e-42
95       8.00000000e-01    9.50000000e-01   -1.22886638e-03    3.81320160e-42
96       8.00000000e-01    9.60000000e-01   -1.28927228e-03    3.69098020e-42
97       8.00000000e-01    9.70000000e-01   -1.35068175e-03    3.57216709e-42
98       8.00000000e-01    9.80000000e-01   -1.41305976e-03    3.45681647e-42
99       8.00000000e-01    9.90000000e-01   -1.47637254e-03    3.34494195e-42
100      8.00000000e-01    1.00000000e+00   -1.54058759e-03    3.23652484e-42
101      8.00000000e-01    1.01000000e+00   -1.60567360e-03    3.13152104e-42
102      8.00000000e-01    1.02000000e+00   -1.67160044e-03    3.02986693e-42
103      8.00000000e-01    1.03000000e+00   -1.73833908e-03    2.93148399e-42
104      8.00000000e-01    1.04000000e+00   -1.80586161e-03    2.83628274e-42
105      8.00000000e-01    1.05000000e+00   -1.87414112e-03    2.74416601e-42
106      8.00000000e-01    1.06000000e+00   -1.94315172e-03    2.65503131e-42
107      8.00000000e-01    1.07000000e+00   -2.01286843e-03    2.56877301e-42
108      8.00000000e-01    1.08000000e+00   -2.08326722e-03    2.48528390e-42
109      8.00000000e-01    1.09000000e+00   -2.15432489e-03    2.40445649e-42
110      8.00000000e-01    1.10000000e+00   -2.22601906e-03    2.32618399e-42
111      8.00000000e-01    1.11000000e+00   -2.29832814e-03    2.25036106e-42
112      8.00000000e-01    1.12000000e+00   -2.37123129e-03    2.17688441e-42
113      8.00000000e-01    1.13000000e+00   -2.44470836e-03    2.10565322e-42
114      8.00000000e-01    1.14000000e+00   -2.51873988e-03    2.03656945e-42
115      8.00000000e-01    1.15000000e+00   -2.59330702e-03    1.96953797e-42
116      8.00000000e-01    1.16000000e+00   -2.66839156e-03    1.90446684e-42
117      8.00000000e-01    1.17000000e+00   -2.74397584e-03    1.84126724e-42
118      8.00000000e-01    1.18000000e+00   -2.82004276e-03    1.77985359e-42
119      8.00000000e-01    1.19000000e+00   -2.89657573e-03    1.72014346e-42
120      8.00000000e-01    1.20000000e+00   -2.97355869e-03    1.66205758e-42
121      8.00000000e-01    1.21000000e+00   -3.05097599e-03    1.60551973e-42
122      8.00000000e-01    1.22000000e+00   -3.12881247e-03    1.55045674e-42
123      8.00000000e-01    1.23000000e+00   -3.20705337e-03    1.49679829e-42
124      8.00000000e-01    1.24000000e+00   -3.28568434e-03    1.44447689e-42
125      8.00000000e-01    1.25000000e+00   -3.36469141e-03    1.39342772e-42
126      8.00000000e-01    1.26000000e+00   -3.44406097e-03    1.34358861e-42
127      8.00000000e-01    1.27000000e+00   -3.52377975e-03    1.29489980e-42
128      8.00000000e-01    1.28000000e+00   -3.60383479e-03    1.24730393e-42
129      8.00000000e-01    1.29000000e+00   -3.68421346e-03    1.20074588e-42
130      8.00000000e-01    1.30000000e+00   -3.76490342e-03    1.15517270e-42
131      8.00000000e-01    1.31000000e+00   -3.84589258e-03    1.11053351e-42
132      8.00000000e-01    1.32000000e+00   -3.92716913e-03    1.06677938e-42
133      8.00000000e-01    1.33000000e+00   -4.00872151e-03    1.02386320e-42
134      8.00000000e-01    1.34000000e+00   -4.09053837e-03    9.81739717e-43
135      8.00000000e-01    1.35000000e+00   -4.17260860e-03    9.40365280e-43
136      8.00000000e-01    1.36000000e+00   -4.25492129e-03    8.99697954e-43
137      8.00000000e-01    1.37000000e+00   -4.33746572e-03    8.59697259e-43
138      8.00000000e-01    1.38000000e+00   -4.42023135e-03    8.20324258e-43
139      8.00000000e-01    1.39000000e+00   -4.50320781e-03    7.81541426e-43
140      8.00000000e-01    1.40000000e+00   -4.58638492e-03    7.43312607e-43
141      8.00000000e-01    1.41000000e+00   -4.66975260e-03    7.05602958e-43
142      8.00000000e-01    1.42000000e+00   -4.75330094e-03    6.68378962e-43
143      8.00000000e-01    1.43000000e+00   -4.83702017e-03    6.31608324e-43
144      8.00000000e-01    1.44000000e+00   -4.92090061e-03    5.95260016e-43
145      8.00000000e-01    1.45000000e+00   -5.00493271e-03    5.59304207e-43
146      8.00000000e-01    1.46000000e+00   -5.08910703e-03    5.23712279e-43
147      8.00000000e-01    1.47000000e+00   -5.17341420e-03    4.88456864e-43
148      8.00000000e-01    1.48000000e+00   -5.25784496e-03    4.53511735e-43
149      8.00000000e-01    1.49000000e+00   -5.34239012e-03    4.18851975e-43
150      8.00000000e-01    1.50000000e+00   -5.42704055e-03    3.84453853e-43
151      8.00000000e-01    1.51000000e+00   -5.51178719e-03    3.50294940e-43
152      8.00000000e-01    1.52000000e+00   -5.59662106e-03    3.16354147e-43
153      8.00000000e-01    1.53000000e+00   -5.68153319e-03    2.82611739e-43
154      8.00000000e-01    1.54000000e+00   -5.76651468e-03    2.49049390e-43
155      8.00000000e-01    1.55000000e+00   -5.85155666e-03    2.15650277e-43
156      8.00000000e-01    1.56000000e+00   -5.93665029e-03    1.82399094e-43
157      8.00000000e-01    1.57000000e+00   -6.02178675e-03    1.49282191e-43
158      8.00000000e-01    1.58000000e+00   -6.10695725e-03    1.16287639e-43
159      8.00000000e-01    1.59000000e+00   -6.19215302e-03    8.34052799e-44
160      8.00000000e-01    1.60000000e+00   -6.27736528e-03    5.06268730e-44
161      8.00000000e-01    1.61000000e+00   -6.36258528e-03    1.79461918e-44
162      8.00000000e-01    1.62000000e+00   -6.44780426e-03   -1.46409093e-44
163      8.00000000e-01    1.63000000e+00   -6.53301347e-03   -4.71363813e-44
164      8.00000000e-01    1.64000000e+00   -6.61820414e-03   -7.95398126e-44
165      8.00000000e-01    1.65000000e+00   -6.70336752e-03   -1.11848406e-43
166      8.00000000e-01    1.66000000e+00   -6.78849483e-03   -1.44056825e-43
167      8.00000000e-01    1.67000000e+00   -6.87357730e-03   -1.76157090e-43
168      8.00000000e-01    1.68000000e+00   -6.95860613e-03   -2.08138536e-43
169      8.00000000e-01    1.69000000e+00   -7.04357252e-03   -2.39987680e-43
170      8.00000000e-01    1.70000000e+00   -7.12846768e-03   -2.71688171e-43
171      8.00000000e-01    1.71000000e+00   -7.21328278e-03   -3.03220766e-43
172      8.00000000e-01    1.72000000e+00   -7.29800900e-03   -3.34563234e-43
173      8.00000000e-01    1.73000000e+00   -7.38263752e-03   -3.65690418e-43
174      8.00000000e-01    1.74000000e+00   -7.46715950e-03   -3.96574190e-43
175      8.00000000e-01    1.75000000e+00   -7.55156613e-03   -4.27183572e-43
176      8.00000000e-01    1.76000000e+00   -7.63584858e-03   -4.57484698e-43
177      8.00000000e-01    1.77000000e+00   -7.71999805e-03   -4.87441049e-43
178      8.00000000e-01    1.78000000e+00   -7.80400575e-03   -5.17013493e-43
179      8.00000000e-01    1.79000000e+00   -7.88786291e-03   -5.46160525e-43
180      8.00000000e-01    1.80000000e+00   -7.97156079e-03   -5.74838541e-43
181      8.00000000e-01    1.81000000e+00   -8.05509072e-03   -6.03001945e-43
182      8.00000000e-01    1.82000000e+00   -8.13844403e-03   -6.30603642e-43
183      8.00000000e-01    1.83000000e+00   -8.22161215e-03   -6.57595197e-43
184      8.00000000e-01    1.84000000e+00   -8.30458654e-03   -6.83927347e-43
185      8.00000000e-01    1.85000000e+00   -8.38735879e-03   -7.09550357e-43
186      8.00000000e-01    1.86000000e+00   -8.46992052e-03   -7.34414432e-43
187      8.00000000e-01    1.87000000e+00   -8.55226349e-03   -7.58470149e-43
188      8.00000000e-01    1.88000000e+00   -8.63437957e-03   -7.81669072e-43
189      8.00000000e-01    1.89000000e+00   -8.71626073e-03   -8.03964038e-43
190      8.00000000e-01    1.90000000e+00   -8.79789911e-03   -8.25309771e-43
191      8.00000000e-01    1.91000000e+00   -8.87928699e-03   -8.45663320e-43
192      8.00000000e-01    1.92000000e+00   -8.96041679e-03   -8.64984515e-43
193      8.00000000e-01    1.93000000e+00   -9.04128114e-03   -8.83236427e-43
194      8.00000000e-01    1.94000000e+00   -9.12187283e-03   -9.00385737e-43
195      8.00000000e-01    1.95000000e+00   -9.20218487e-03   -9.16403207e-43
196      8.00000000e-01    1.96000000e+00   -9.28221047e-03   -9.31263883e-43
197      8.00000000e-01    1.97000000e+00   -9.36194306e-03   -9.44947487e-43
198      8.00000000e-01    1.98000000e+00   -9.44137631e-03   -9.57438575e-43
199      8.00000000e-01    1.99000000e+00   -9.52050413e-03   -9.68726727e-43
200      8.00000000e-01    2.00000000e+00   -9.59932068e-03   -9.78806637e-43
201      8.00000000e-01    2.01000000e+00   -9.67782037e-03   -9.87678238e-43
202      8.00000000e-01    2.02000000e+00   -9.75599789e-03   -9.95346544e-43
203      8.00000000e-01    2.03000000e+00   -9.83384820e-03   -1.00182167e-42
204      8.00000000e-01    2.04000000e+00   -9.91136653e-03   -1.00711863e-42
205      8.00000000e-01    2.05000000e+00   -9.98854838e-03   -1.01125723e-42
206      8.00000000e-01    2.06000000e+00   -1.00653896e-02   -1.01426174e-42
207      8.00000000e-01    2.07000000e+00   -1.01418862e-02   -1.01616061e-42
208      8.00000000e-01    2.08000000e+00   -1.02180345e-02   -1.01698614e-42
209      8.00000000e-01    2.09000000e+00   -1.02938313e-02   -1.01677419e-42
210      8.00000000e-01    2.10000000e+00   -1.03692734e-02   -1.01556368e-42
211      8.00000000e-01    2.11000000e+00   -1.04443581e-02   -1.01339626e-42
212      8.00000000e-01    2.12000000e+00   -1.05190828e-02   -1.01031588e-42
213      8.00000000e-01    2.13000000e+00   -1.05934452e-02   -1.00636835e-42
214      8.00000000e-01    2.14000000e+00   -1.06674435e-02   -1.00160091e-42
215      8.00000000e-01    2.15000000e+00   -1.07410759e-02   -9.96061903e-43
216      8.00000000e-01    2.16000000e+00   -1.08143408e-02   -9.89800251e-43
217      8.00000000e-01    2.17000000e+00   -1.08872371e-02   -9.82865243e-43
218      8.00000000e-01    2.18000000e+00   -1.09597638e-02   -9.75306036e-43
219      8.00000000e-01    2.19000000e+00   -1.10319200e-02   -9.67171347e-43
220      8.00000000e-01    2.20000000e+00   -1.11037053e-02   -9.58509284e-43
221      8.00000000e-01    2.21000000e+00   -1.11751192e-02   -9.49366948e-43
222      8.00000000e-01    2.22000000e+00   -1.12461615e-02   -9.39790216e-43
223      8.00000000e-01    2.23000000e+00   -1.13168325e-02   -9.29823573e-43
224      8.00000000e-01    2.24000000e+00   -1.13871321e-02   -9.19509952e-43
225      8.00000000e-01    2.25000000e+00   -1.14570608e-02   -9.08890528e-43
226      8.00000000e-01    2.26000000e+00   -1.15266191e-02   -8.98004646e-43
227      8.00000000e-01    2.27000000e+00   -1.15958078e-02   -8.86889741e-43
228      8.00000000e-01    2.28000000e+00   -1.16646274e-02   -8.75581259e-43
229      8.00000000e-01    2.29000000e+00   -1.17330791e-02   -8.64112630e-43
230      8.00000000e-01    2.30000000e+00   -1.18011639e-02   -8.52515222e-43
231      8.00000000e-01    2.31000000e+00   -1.18688829e-02   -8.40818379e-43
232      8.00000000e-01    2.32000000e+00   -1.19362374e-02   -8.29049485e-43
233      8.00000000e-01    2.33000000e+00   -1.20032288e-02   -8.17233896e-43
234      8.00000000e-01    2.34000000e+00   -1.20698584e-02   -8.05395032e-43
235      8.00000000e-01    2.35000000e+00   -1.21361278e-02   -7.93554480e-43
236      8.00000000e-01    2.36000000e+00   -1.22020386e-02   -7.81732021e-43
237      8.00000000e-01    2.37000000e+00   -1.22675925e-02   -7.69945691e-43
238      8.00000000e-01    2.38000000e+00   -1.23327911e-02   -7.58211852e-43
239      8.00000000e-01    2.39000000e+00   -1.23976362e-02   -7.46545370e-43
240      8.00000000e-01    2.40000000e+00   -1.24621296e-02   -7.34959552e-43
241      8.00000000e-01    2.41000000e+00   -1.25262732e-02   -7.23466359e-43
242      8.00000000e-01    2.42000000e+00   -1.25900688e-02   -7.12076417e-43
243      8.00000000e-01    2.43000000e+00   -1.26535184e-02   -7.00799136e-43
244      8.00000000e-01    2.44000000e+00   -1.27166239e-02   -6.89642784e-43
245      8.00000000e-01    2.45000000e+00   -1.27793872e-02   -6.78614576e-43
246      8.00000000e-01    2.46000000e+00   -1.28418104e-02   -6.67720683e-43
247      8.00000000e-01    2.47000000e+00   -1.29038954e-02   -6.56966477e-43
248      8.00000000e-01    2.48000000e+00   -1.29656442e-02   -6.46356402e-43
249      8.00000000e-01    2.49000000e+00   -1.30270588e-02   -6.35894169e-43
250      8.00000000e-01    2.50000000e+00   -1.30881414e-02   -6.25582795e-43
End of Xyce(TM) Simulation
