V(G),I(V_VSRC_D),I(V_VSRC_G)
1.46000000e+00,-5.08910703e-03,5.23712279e-43
1.47000000e+00,-5.17341420e-03,4.88456864e-43
1.48000000e+00,-5.25784496e-03,4.53511735e-43
1.49000000e+00,-5.34239012e-03,4.18851975e-43
1.50000000e+00,-5.42704055e-03,3.84453853e-43
1.51000000e+00,-5.51178719e-03,3.50294940e-43
1.52000000e+00,-5.59662106e-03,3.16354147e-43
1.53000000e+00,-5.68153319e-03,2.82611739e-43
1.54000000e+00,-5.76651468e-03,2.49049390e-43
1.55000000e+00,-5.85155666e-03,2.15650277e-43
1.56000000e+00,-5.93665029e-03,1.82399094e-43
1.57000000e+00,-6.02178675e-03,1.49282191e-43
1.58000000e+00,-6.10695725e-03,1.16287639e-43
1.59000000e+00,-6.19215302e-03,8.34052799e-44
1.60000000e+00,-6.27736528e-03,5.06268730e-44
1.61000000e+00,-6.36258528e-03,1.79461918e-44
1.62000000e+00,-6.44780426e-03,-1.46409093e-44
1.63000000e+00,-6.53301347e-03,-4.71363813e-44
1.64000000e+00,-6.61820414e-03,-7.95398126e-44
1.65000000e+00,-6.70336752e-03,-1.11848406e-43
1.66000000e+00,-6.78849483e-03,-1.44056825e-43
1.67000000e+00,-6.87357730e-03,-1.76157090e-43
1.68000000e+00,-6.95860613e-03,-2.08138536e-43
1.69000000e+00,-7.04357252e-03,-2.39987680e-43
1.70000000e+00,-7.12846768e-03,-2.71688171e-43
1.71000000e+00,-7.21328278e-03,-3.03220766e-43
1.72000000e+00,-7.29800900e-03,-3.34563234e-43
1.73000000e+00,-7.38263752e-03,-3.65690418e-43
1.74000000e+00,-7.46715950e-03,-3.96574190e-43
1.75000000e+00,-7.55156613e-03,-4.27183572e-43
1.76000000e+00,-7.63584858e-03,-4.57484698e-43
1.77000000e+00,-7.71999805e-03,-4.87441049e-43
1.78000000e+00,-7.80400575e-03,-5.17013493e-43
1.79000000e+00,-7.88786291e-03,-5.46160525e-43
1.80000000e+00,-7.97156079e-03,-5.74838541e-43
1.81000000e+00,-8.05509072e-03,-6.03001945e-43
1.82000000e+00,-8.13844403e-03,-6.30603642e-43
1.83000000e+00,-8.22161215e-03,-6.57595197e-43
1.84000000e+00,-8.30458654e-03,-6.83927347e-43
1.85000000e+00,-8.38735879e-03,-7.09550357e-43
1.86000000e+00,-8.46992052e-03,-7.34414432e-43
1.87000000e+00,-8.55226349e-03,-7.58470149e-43
1.88000000e+00,-8.63437957e-03,-7.81669072e-43
1.89000000e+00,-8.71626073e-03,-8.03964038e-43
1.90000000e+00,-8.79789911e-03,-8.25309771e-43
1.91000000e+00,-8.87928699e-03,-8.45663320e-43
1.92000000e+00,-8.96041679e-03,-8.64984515e-43
1.93000000e+00,-9.04128114e-03,-8.83236427e-43
1.94000000e+00,-9.12187283e-03,-9.00385737e-43
1.95000000e+00,-9.20218487e-03,-9.16403207e-43
1.96000000e+00,-9.28221047e-03,-9.31263883e-43
1.97000000e+00,-9.36194306e-03,-9.44947487e-43
1.98000000e+00,-9.44137631e-03,-9.57438575e-43
1.99000000e+00,-9.52050413e-03,-9.68726727e-43
2.00000000e+00,-9.59932068e-03,-9.78806637e-43
2.01000000e+00,-9.67782037e-03,-9.87678238e-43
2.02000000e+00,-9.75599789e-03,-9.95346544e-43
2.03000000e+00,-9.83384820e-03,-1.00182167e-42
2.04000000e+00,-9.91136653e-03,-1.00711863e-42
2.05000000e+00,-9.98854838e-03,-1.01125723e-42
2.06000000e+00,-1.00653896e-02,-1.01426174e-42
2.07000000e+00,-1.01418862e-02,-1.01616061e-42
2.08000000e+00,-1.02180345e-02,-1.01698614e-42
2.09000000e+00,-1.02938313e-02,-1.01677419e-42
2.10000000e+00,-1.03692734e-02,-1.01556368e-42
2.11000000e+00,-1.04443581e-02,-1.01339626e-42
2.12000000e+00,-1.05190828e-02,-1.01031588e-42
2.13000000e+00,-1.05934452e-02,-1.00636835e-42
2.14000000e+00,-1.06674435e-02,-1.00160091e-42
2.15000000e+00,-1.07410759e-02,-9.96061903e-43
2.16000000e+00,-1.08143408e-02,-9.89800251e-43
2.17000000e+00,-1.08872371e-02,-9.82865243e-43
2.18000000e+00,-1.09597638e-02,-9.75306036e-43
2.19000000e+00,-1.10319200e-02,-9.67171347e-43
2.20000000e+00,-1.11037053e-02,-9.58509284e-43
2.21000000e+00,-1.11751192e-02,-9.49366948e-43
2.22000000e+00,-1.12461615e-02,-9.39790216e-43
2.23000000e+00,-1.13168325e-02,-9.29823573e-43
2.24000000e+00,-1.13871321e-02,-9.19509952e-43
2.25000000e+00,-1.14570608e-02,-9.08890528e-43
2.26000000e+00,-1.15266191e-02,-8.98004646e-43
2.27000000e+00,-1.15958078e-02,-8.86889741e-43
2.28000000e+00,-1.16646274e-02,-8.75581259e-43
2.29000000e+00,-1.17330791e-02,-8.64112630e-43
2.30000000e+00,-1.18011639e-02,-8.52515222e-43
2.31000000e+00,-1.18688829e-02,-8.40818379e-43
2.32000000e+00,-1.19362374e-02,-8.29049485e-43
2.33000000e+00,-1.20032288e-02,-8.17233896e-43
2.34000000e+00,-1.20698584e-02,-8.05395032e-43
2.35000000e+00,-1.21361278e-02,-7.93554480e-43
2.36000000e+00,-1.22020386e-02,-7.81732021e-43
2.37000000e+00,-1.22675925e-02,-7.69945691e-43
2.38000000e+00,-1.23327911e-02,-7.58211852e-43
2.39000000e+00,-1.23976362e-02,-7.46545370e-43
2.40000000e+00,-1.24621296e-02,-7.34959552e-43
2.41000000e+00,-1.25262732e-02,-7.23466359e-43
2.42000000e+00,-1.25900688e-02,-7.12076417e-43
2.43000000e+00,-1.26535184e-02,-7.00799136e-43
2.44000000e+00,-1.27166239e-02,-6.89642784e-43
2.45000000e+00,-1.27793872e-02,-6.78614576e-43
2.46000000e+00,-1.28418104e-02,-6.67720683e-43
2.47000000e+00,-1.29038954e-02,-6.56966477e-43
2.48000000e+00,-1.29656442e-02,-6.46356402e-43
2.49000000e+00,-1.30270588e-02,-6.35894169e-43
2.50000000e+00,-1.30881414e-02,-6.25582795e-43
