freq_hz,gain_mag,gain_db
4.365158319999999890e+02,9.999962391933244765e-01,-3.266601315901385182e-05
4.466835919999999760e+02,9.999960614511780310e-01,-3.420986777041503833e-05
4.570881899999999973e+02,9.999958760627405407e-01,-3.582013777001861852e-05
4.677351409999999987e+02,9.999956814217143553e-01,-3.751077537912269591e-05
4.786300919999999905e+02,9.999954779403863458e-01,-3.927819955019783697e-05
4.897788189999999986e+02,9.999952650503384222e-01,-4.112734757029555061e-05
5.011872339999999895e+02,9.999950422036287812e-01,-4.306297887723463613e-05
5.128613840000000437e+02,9.999948078735152457e-01,-4.509835471173279255e-05
5.248074599999999919e+02,9.999945635556556356e-01,-4.722048395451487540e-05
5.370317959999999857e+02,9.999943067689702758e-01,-4.945091717607329201e-05
5.495408740000000307e+02,9.999940390569246329e-01,-5.177624800921344032e-05
5.623413249999999834e+02,9.999937579884862204e-01,-5.421759234181445266e-05
5.754399369999999863e+02,9.999934641595579210e-01,-5.676977429119582793e-05
5.888436550000000125e+02,9.999931561939819913e-01,-5.944474719114032203e-05
6.025595859999999675e+02,9.999928327451251819e-01,-6.225420794670751901e-05
6.165950020000000222e+02,9.999924954970876856e-01,-6.518352867019695069e-05
6.309573440000000346e+02,9.999921421661822629e-01,-6.825254549405079156e-05
6.456542289999999866e+02,9.999917715025166132e-01,-7.147211508225673562e-05
6.606934479999999894e+02,9.999913832915643397e-01,-7.484410097089069628e-05
6.760829750000000331e+02,9.999909773556885373e-01,-7.837004628593825437e-05
6.918309709999999768e+02,9.999905525562005071e-01,-8.205984183269961370e-05
7.079457840000000033e+02,9.999901067947774003e-01,-8.593171380097068383e-05
7.244359600000000228e+02,9.999896410157738114e-01,-8.997745978947901502e-05
7.413102410000000191e+02,9.999891522079067396e-01,-9.422323599669525814e-05
7.585775750000000244e+02,9.999886414065407569e-01,-9.866004955139011173e-05
7.762471170000000029e+02,9.999881056958342951e-01,-1.033132277255855997e-04
7.943282349999999497e+02,9.999875452110063012e-01,-1.081815963555309837e-04
8.128305159999999887e+02,9.999869591407297698e-01,-1.132722029917917605e-04
8.317637710000000197e+02,9.999863437297725755e-01,-1.186176660022967482e-04
8.511380380000000514e+02,9.999857002814682705e-01,-1.242066650842876883e-04
8.709635899999999538e+02,9.999850261606337831e-01,-1.300620899599250506e-04
8.912509380000000192e+02,9.999843207963028391e-01,-1.361889005958279251e-04
9.120108390000000327e+02,9.999835816848948733e-01,-1.426088437477769286e-04
9.332543010000000550e+02,9.999828083932360556e-01,-1.493256826305188541e-04
9.549925859999999602e+02,9.999819985621982710e-01,-1.563599094281249409e-04
9.772372209999999768e+02,9.999811499096928902e-01,-1.637313472553045572e-04
1.000000000000000000e+03,9.999802612347767905e-01,-1.714504284359177856e-04
1.023292990000000032e+03,9.999793314209975970e-01,-1.795268514793486739e-04
1.047128549999999905e+03,9.999783574409912834e-01,-1.879869133012923533e-04
1.071519309999999905e+03,9.999773373600258086e-01,-1.968474202725602369e-04
1.096478200000000015e+03,9.999762693407656666e-01,-2.061243328907737509e-04
1.122018450000000030e+03,9.999751506478007368e-01,-2.158414125509555649e-04
1.148153620000000046e+03,9.999739796523723356e-01,-2.260128083166525886e-04
1.174897549999999910e+03,9.999727538372622515e-01,-2.366603866591882564e-04
1.202264429999999948e+03,9.999714698023695059e-01,-2.478136830741431949e-04
1.230268769999999904e+03,9.999701252701292953e-01,-2.594924827771593972e-04
1.258925410000000056e+03,9.999687170910449563e-01,-2.717241449241492761e-04
1.288249549999999999e+03,9.999672422498457891e-01,-2.845348630172044903e-04
1.318256740000000036e+03,9.999656988719360928e-01,-2.979409227083185618e-04
