FREQ,Re(V(VBN)),Im(V(VBN)),Re(V(XOTA:TAIL)),Im(V(XOTA:TAIL)),Re(V(XOTA:D)),Im(V(XOTA:D)),Re(V(VSS)),Im(V(VSS)),Re(V(VDD)),Im(V(VDD)),Re(V(OUT)),Im(V(OUT)),Re(V(IN)),Im(V(IN))
2.13796209e+00,3.19148385e-19,1.10535979e-10,7.73569727e-01,-8.75160152e-10,-9.20948097e-03,-9.22028559e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.22508868e-09,1.00000000e+00,0.00000000e+00
2.18776162e+00,3.34189385e-19,1.13110693e-10,7.73569727e-01,-8.95545251e-10,-9.20948097e-03,-9.43505363e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.25362466e-09,1.00000000e+00,0.00000000e+00
2.23872114e+00,3.49939245e-19,1.15745380e-10,7.73569727e-01,-9.16405180e-10,-9.20948097e-03,-9.65482426e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.28282533e-09,1.00000000e+00,0.00000000e+00
2.29086765e+00,3.66431374e-19,1.18441436e-10,7.73569727e-01,-9.37750998e-10,-9.20948097e-03,-9.87971401e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.31270617e-09,1.00000000e+00,0.00000000e+00
2.34422882e+00,3.83700752e-19,1.21200291e-10,7.73569727e-01,-9.59594025e-10,-9.20948097e-03,-1.01098421e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.34328302e-09,1.00000000e+00,0.00000000e+00
2.39883292e+00,4.01784012e-19,1.24023409e-10,7.73569727e-01,-9.81945841e-10,-9.20948097e-03,-1.03453306e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.37457210e-09,1.00000000e+00,0.00000000e+00
2.45470892e+00,4.20719509e-19,1.26912285e-10,7.73569727e-01,-1.00481830e-09,-9.20948097e-03,-1.05863043e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.40659000e-09,1.00000000e+00,0.00000000e+00
2.51188643e+00,4.40547408e-19,1.29868452e-10,7.73569727e-01,-1.02822352e-09,-9.20948097e-03,-1.08328910e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.43935369e-09,1.00000000e+00,0.00000000e+00
2.57039578e+00,4.61309768e-19,1.32893477e-10,7.73569727e-01,-1.05217393e-09,-9.20948097e-03,-1.10852214e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.47288055e-09,1.00000000e+00,0.00000000e+00
2.63026799e+00,4.83050628e-19,1.35988964e-10,7.73569727e-01,-1.07668220e-09,-9.20948097e-03,-1.13434294e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.50718834e-09,1.00000000e+00,0.00000000e+00
2.69153480e+00,5.05816102e-19,1.39156553e-10,7.73569727e-01,-1.10176136e-09,-9.20948097e-03,-1.16076518e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.54229527e-09,1.00000000e+00,0.00000000e+00
2.75422870e+00,5.29654481e-19,1.42397926e-10,7.73569727e-01,-1.12742467e-09,-9.20948097e-03,-1.18780288e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.57821994e-09,1.00000000e+00,0.00000000e+00
2.81838293e+00,5.54616327e-19,1.45714800e-10,7.73569727e-01,-1.15368577e-09,-9.20948097e-03,-1.21547036e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.61498140e-09,1.00000000e+00,0.00000000e+00
2.88403150e+00,5.80754590e-19,1.49108933e-10,7.73569727e-01,-1.18055856e-09,-9.20948097e-03,-1.24378230e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.65259915e-09,1.00000000e+00,0.00000000e+00
2.95120923e+00,6.08124710e-19,1.52582127e-10,7.73569727e-01,-1.20805730e-09,-9.20948097e-03,-1.27275371e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.69109313e-09,1.00000000e+00,0.00000000e+00
3.01995172e+00,6.36784745e-19,1.56136221e-10,7.73569727e-01,-1.23619657e-09,-9.20948097e-03,-1.30239996e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.73048375e-09,1.00000000e+00,0.00000000e+00
3.09029543e+00,6.66795485e-19,1.59773101e-10,7.73569727e-01,-1.26499129e-09,-9.20948097e-03,-1.33273675e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.77079190e-09,1.00000000e+00,0.00000000e+00
3.16227766e+00,6.98220588e-19,1.63494694e-10,7.73569727e-01,-1.29445672e-09,-9.20948097e-03,-1.36378018e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.81203894e-09,1.00000000e+00,0.00000000e+00
3.23593657e+00,7.31126711e-19,1.67302975e-10,7.73569727e-01,-1.32460849e-09,-9.20948097e-03,-1.39554670e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.85424675e-09,1.00000000e+00,0.00000000e+00
3.31131121e+00,7.65583651e-19,1.71199962e-10,7.73569727e-01,-1.35546259e-09,-9.20948097e-03,-1.42805315e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.89743770e-09,1.00000000e+00,0.00000000e+00
3.38844156e+00,8.01664497e-19,1.75187721e-10,7.73569727e-01,-1.38703537e-09,-9.20948097e-03,-1.46131679e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.94163471e-09,1.00000000e+00,0.00000000e+00
3.46736850e+00,8.39445781e-19,1.79268368e-10,7.73569727e-01,-1.41934357e-09,-9.20948097e-03,-1.49535523e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.98686119e-09,1.00000000e+00,0.00000000e+00
3.54813389e+00,8.79007642e-19,1.83444064e-10,7.73569727e-01,-1.45240433e-09,-9.20948097e-03,-1.53018652e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-2.03314113e-09,1.00000000e+00,0.00000000e+00
3.63078055e+00,9.20433996e-19,1.87717025e-10,7.73569727e-01,-1.48623517e-09,-9.20948097e-03,-1.56582915e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-2.08049907e-09,1.00000000e+00,0.00000000e+00
3.71535229e+00,9.63812714e-19,1.92089517e-10,7.73569727e-01,-1.52085404e-09,-9.20948097e-03,-1.60230199e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-2.12896012e-09,1.00000000e+00,0.00000000e+00
3.80189396e+00,1.00923581e-18,1.96563856e-10,7.73569727e-01,-1.55627928e-09,-9.20948097e-03,-1.63962440e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-2.17854997e-09,1.00000000e+00,0.00000000e+00
