TIME,V(IN),V(OUT),V(VSS),V(VDD),V(A)
2.85768871e-07,2.47485154e+00,3.30000154e+00,0.00000000e+00,3.30000000e+00,2.37701908e-03
3.04078208e-07,2.44282688e+00,3.30000001e+00,0.00000000e+00,3.30000000e+00,3.92579925e-03
3.22387545e-07,2.39833820e+00,3.30000320e+00,0.00000000e+00,3.30000000e+00,7.13105219e-03
3.40696881e-07,2.34197365e+00,3.30000291e+00,0.00000000e+00,3.30000000e+00,1.32099932e-02
3.59006218e-07,2.27447835e+00,3.30000759e+00,0.00000000e+00,3.30000000e+00,2.36436275e-02
3.77315554e-07,2.19674457e+00,3.30000912e+00,0.00000000e+00,3.30000000e+00,4.01900365e-02
3.95624891e-07,2.10979995e+00,3.30001612e+00,0.00000000e+00,3.30000000e+00,6.50494559e-02
4.13934227e-07,2.01479387e+00,3.30002114e+00,0.00000000e+00,3.30000000e+00,1.01480230e-01
4.32243564e-07,1.91298231e+00,3.30003417e+00,0.00000000e+00,3.30000000e+00,1.54903197e-01
4.50552900e-07,1.80571119e+00,3.30005174e+00,0.00000000e+00,3.30000000e+00,2.36381178e-01
4.68862237e-07,1.69439862e+00,3.30010152e+00,0.00000000e+00,3.30000000e+00,3.77507450e-01
4.74201628e-07,1.66138704e+00,3.30012574e+00,0.00000000e+00,3.30000000e+00,4.45358023e-01
4.76814196e-07,1.64516595e+00,3.30015474e+00,0.00000000e+00,3.30000000e+00,4.88502565e-01
4.79426765e-07,1.62890576e+00,3.30019572e+00,0.00000000e+00,3.30000000e+00,5.43292891e-01
4.82039333e-07,1.61261082e+00,3.29989478e+00,0.00000000e+00,3.30000000e+00,6.24187631e-01
4.82411767e-07,1.61028533e+00,3.29975475e+00,0.00000000e+00,3.30000000e+00,6.39475644e-01
4.83156633e-07,1.60563255e+00,3.29919903e+00,0.00000000e+00,3.30000000e+00,6.74894486e-01
4.83901500e-07,1.60097746e+00,3.29763489e+00,0.00000000e+00,3.30000000e+00,7.21173965e-01
4.84646367e-07,1.59632016e+00,3.29345539e+00,0.00000000e+00,3.30000000e+00,7.82216267e-01
4.85391234e-07,1.59166075e+00,3.28291981e+00,0.00000000e+00,3.30000000e+00,8.63161013e-01
4.86136100e-07,1.58699933e+00,3.25954782e+00,0.00000000e+00,3.30000000e+00,9.67922920e-01
4.86880967e-07,1.58233600e+00,3.21393263e+00,0.00000000e+00,3.30000000e+00,1.09797565e+00
4.87625834e-07,1.57767087e+00,3.13090008e+00,0.00000000e+00,3.30000000e+00,1.25133733e+00
4.88296214e-07,1.57347080e+00,2.99514337e+00,0.00000000e+00,3.30000000e+00,1.40409767e+00
4.88363341e-07,1.57305016e+00,2.97573708e+00,0.00000000e+00,3.30000000e+00,1.41997787e+00
4.88430468e-07,1.57262951e+00,2.95493645e+00,0.00000000e+00,3.30000000e+00,1.43583402e+00
4.88564722e-07,1.57178817e+00,2.90671905e+00,0.00000000e+00,3.30000000e+00,1.46756225e+00
4.88698975e-07,1.57094678e+00,2.84689704e+00,0.00000000e+00,3.30000000e+00,1.49949831e+00
4.88833229e-07,1.57010534e+00,2.76578414e+00,0.00000000e+00,3.30000000e+00,1.53181327e+00
4.88967483e-07,1.56926385e+00,2.63232044e+00,0.00000000e+00,3.30000000e+00,1.56509919e+00
4.88981682e-07,1.56917485e+00,2.61209515e+00,0.00000000e+00,3.30000000e+00,1.56869039e+00
4.88995880e-07,1.56908585e+00,2.59045879e+00,0.00000000e+00,3.30000000e+00,1.57229987e+00
4.89024277e-07,1.56890785e+00,2.53987550e+00,0.00000000e+00,3.30000000e+00,1.57933200e+00
4.89052674e-07,1.56872985e+00,2.47820032e+00,0.00000000e+00,3.30000000e+00,1.58601766e+00
4.89081071e-07,1.56855185e+00,2.40423649e+00,0.00000000e+00,3.30000000e+00,1.59223128e+00
4.89109467e-07,1.56837385e+00,2.31799952e+00,0.00000000e+00,3.30000000e+00,1.59790837e+00
4.89137864e-07,1.56819584e+00,2.22049357e+00,0.00000000e+00,3.30000000e+00,1.60305009e+00
4.89166261e-07,1.56801783e+00,2.11312640e+00,0.00000000e+00,3.30000000e+00,1.60769480e+00
4.89194658e-07,1.56783982e+00,1.99736497e+00,0.00000000e+00,3.30000000e+00,1.61189424e+00
4.89223055e-07,1.56766181e+00,1.87462929e+00,0.00000000e+00,3.30000000e+00,1.61570144e+00
4.89279848e-07,1.56730578e+00,1.61367567e+00,0.00000000e+00,3.30000000e+00,1.62241080e+00
4.89393436e-07,1.56659369e+00,1.04872913e+00,0.00000000e+00,3.30000000e+00,1.63515890e+00
4.89443573e-07,1.56627937e+00,8.01000507e-01,0.00000000e+00,3.30000000e+00,1.64184966e+00
4.89452394e-07,1.56622406e+00,7.59189844e-01,0.00000000e+00,3.30000000e+00,1.64308514e+00
4.89470036e-07,1.56611345e+00,6.81146076e-01,0.00000000e+00,3.30000000e+00,1.64575673e+00
4.89505321e-07,1.56589224e+00,5.65571891e-01,0.00000000e+00,3.30000000e+00,1.65285266e+00
4.89534807e-07,1.56570737e+00,5.07311925e-01,0.00000000e+00,3.30000000e+00,1.66077327e+00
4.89564294e-07,1.56552250e+00,4.69247835e-01,0.00000000e+00,3.30000000e+00,1.67001488e+00
4.89623266e-07,1.56515276e+00,4.15757563e-01,0.00000000e+00,3.30000000e+00,1.69005184e+00
4.89676341e-07,1.56481999e+00,3.78762038e-01,0.00000000e+00,3.30000000e+00,1.70885357e+00
4.89782490e-07,1.56415442e+00,3.18103726e-01,0.00000000e+00,3.30000000e+00,1.74733030e+00
4.89888640e-07,1.56348882e+00,2.69984593e-01,0.00000000e+00,3.30000000e+00,1.78682070e+00
4.89994790e-07,1.56282319e+00,2.29964867e-01,0.00000000e+00,3.30000000e+00,1.82700881e+00
4.90207090e-07,1.56149185e+00,1.67009041e-01,0.00000000e+00,3.30000000e+00,1.90877528e+00
4.90631689e-07,1.55882885e+00,8.38777288e-02,0.00000000e+00,3.30000000e+00,2.07381123e+00
4.91056289e-07,1.55616542e+00,3.60722793e-02,0.00000000e+00,3.30000000e+00,2.23502073e+00
4.91480888e-07,1.55350160e+00,1.17542335e-02,0.00000000e+00,3.30000000e+00,2.38431582e+00
4.91905488e-07,1.55083740e+00,3.42747782e-03,0.00000000e+00,3.30000000e+00,2.50813175e+00
4.92330087e-07,1.54817283e+00,1.18721392e-03,0.00000000e+00,3.30000000e+00,2.58904847e+00
4.92712226e-07,1.54577443e+00,5.59841730e-04,0.00000000e+00,3.30000000e+00,2.62603230e+00
4.93094366e-07,1.54337577e+00,3.30495912e-04,0.00000000e+00,3.30000000e+00,2.64628228e+00
